RPS13	ENSG00000110700
MYO10	ENSG00000145555
OR7A10	ENSG00000127515
PNLIPRP2	ENSG00000165862
LOC92973	NA
ETV3	ENSG00000117036
PDE6G	ENSG00000185527
NAV2	ENSG00000166833
STYK1	ENSG00000060140
CBLL1	ENSG00000105879
FLJ22349	NA
PHKA1	ENSG00000268579
ACE2	ENSG00000130234
KLHL11	ENSG00000178502
FLJ11783	NA
CAPN6	ENSG00000077274
RBP3	ENSG00000265203
SMAD9	ENSG00000120693
LRFN4	ENSG00000173621
ZSCAN2	ENSG00000176371
HIST1H2AL	ENSG00000198374
CBR3	ENSG00000159231
P2RX3	ENSG00000109991
C9orf38	ENSG00000215066
SE57-1	NA
FMO1	ENSG00000010932
RBL1	ENSG00000080839
SDCCAG8	ENSG00000054282
PLAC4	NA
SLITRK3	ENSG00000121871
G0S2	ENSG00000123689
ICAM3	ENSG00000076662
SLC16A6	ENSG00000108932
PCDHA6	ENSG00000081842
DEFB4	NA
TRAC	ENSG00000229164
ARHGAP6	ENSG00000047648
HIBADH	ENSG00000106049
MAGEA5	ENSG00000242520
YEATS4	ENSG00000127337
NPHP1	ENSG00000144061
RHOBTB2	ENSG00000008853
ACR	ENSG00000100312
DKFZP434K1172	NA
RBMY2FP	ENSG00000243040
ICAM5	ENSG00000105376
TAS2R13	ENSG00000212128
CAV2	ENSG00000105971
FLT3	LRG_457
ODZ4	NA
LILRA2	ENSG00000262754
NTRK2	ENSG00000148053
PTHR2	NA
FLJ13646	NA
PYCARD	ENSG00000103490
PLEKHC1	NA
C15orf31	NA
LALBA	ENSG00000167531
NMUR1	ENSG00000171596
MDK	ENSG00000110492
MIA2	ENSG00000150526
GRTP1	ENSG00000139835
KIAA0367	NA
CDKL2	ENSG00000138769
RPL23AP7	ENSG00000240356
COL8A1	ENSG00000144810
KIFC1	ENSG00000233450
PTPRF	ENSG00000142949
ZNF574	ENSG00000105732
PHLDA2	ENSG00000181649
RNASE4	ENSG00000258818
NDOR1	ENSG00000188566
HOXD12	ENSG00000170178
HIST1H2BM	ENSG00000196374
FLJ10157	NA
CRLF2	ENSG00000205755
EPS8	ENSG00000151491
HOOK1	ENSG00000134709
KAL1	ENSG00000011201
GNG13	ENSG00000127588
ECE2	ENSG00000145194
LOC159110	NA
ANK2	ENSG00000145362
SYP	ENSG00000268353
NPTX1	ENSG00000171246
KITLG	ENSG00000049130
KCNK7	ENSG00000173338
PDPN	ENSG00000162493
TNP2	ENSG00000178279
FOLR3	ENSG00000110203
TDO2	ENSG00000151790
CAMK2N1	ENSG00000162545
SOX17	ENSG00000164736
HIST1H4B	ENSG00000124529
EFNA5	ENSG00000184349
TNXA	ENSG00000234328
MRPL41	ENSG00000182154
JUP	ENSG00000173801
C18orf43	NA
RAB27B	ENSG00000041353
RAB11FIP1	ENSG00000156675
KREMEN2	ENSG00000131650
SURF2	ENSG00000148291
MAP4K1	ENSG00000104814
ADAMTS3	ENSG00000156140
ZNF83	ENSG00000167766
C6orf10	ENSG00000237881
LOC400410	NA
AQP7	ENSG00000165269
GPR17	ENSG00000144230
VWA1	ENSG00000179403
CBLN1	ENSG00000102924
ACTC	NA
FLJ11184	NA
EGFL3	NA
GNG12	ENSG00000172380
TUBB4	NA
MGC11271	NA
TMSL8	NA
FUT9	ENSG00000172461
RFX1	ENSG00000132005
PCSK1N	ENSG00000102109
FZD9	ENSG00000263254
TRIM17	ENSG00000162931
LOC157627	NA
RAB3A	ENSG00000105649
HOXA10	ENSG00000253293
GLRA2	ENSG00000101958
DPYS	ENSG00000147647
TACC2	ENSG00000138162
CALCB	ENSG00000175868
COL1A1	LRG_1
C9orf150	NA
GHSR	ENSG00000121853
LOC51066	NA
FCGR3B	ENSG00000162747
IFNB1	ENSG00000171855
ADCY7	ENSG00000121281
CXCL9	ENSG00000138755
MGC5457	NA
ANXA9	ENSG00000143412
MYCPBP	NA
SLC9A7	ENSG00000271342
COL2A1	ENSG00000139219
TERT	LRG_343
AKR1C2	ENSG00000151632
SERPINI1	ENSG00000163536
AKR1C4	ENSG00000198610
BCAT1	ENSG00000060982
LOC63920	NA
IGKV1D-13	ENSG00000211630
RBM35B	NA
MGC2889	NA
ENPP2	ENSG00000136960
SBLF	NA
CHRM4	ENSG00000180720
UTS2	ENSG00000049247
KIAA1005	NA
NOVA1	ENSG00000139910
ADAMTS20	ENSG00000173157
CCR5	ENSG00000160791
LOC441628	NA
UGT2A1	ENSG00000270386
SLC2A4	ENSG00000181856
YTHDC1	ENSG00000083896
ST8SIA4	ENSG00000113532
CD180	ENSG00000134061
ELAVL4	ENSG00000162374
MATK	ENSG00000007264
RIG	NA
PRKAR2B	ENSG00000005249
CHST11	ENSG00000171310
SOX3	ENSG00000134595
LMO7	ENSG00000136153
DPYSL3	ENSG00000113657
GABRE	ENSG00000102287
ARHGAP29	ENSG00000137962
VSNL1	ENSG00000163032
KIAA0506	NA
SPTBN4	ENSG00000160460
OBP2B	ENSG00000171102
HOXB2	ENSG00000173917
IQSEC3	ENSG00000120645
ALOX12B	ENSG00000179477
RAI1	ENSG00000108557
FLJ25976	NA
SLAMF1	ENSG00000117090
PDE1A	ENSG00000115252
PKIA	ENSG00000171033
UCN	ENSG00000163794
ARHGDIB	ENSG00000111348
TSPY1	ENSG00000258992
ATP9A	ENSG00000054793
GPR172B	NA
TPD52L1	ENSG00000111907
CGREF1	ENSG00000138028
TUBGCP5	ENSG00000153575
CD74	ENSG00000019582
KIAA1641	NA
RBP1	ENSG00000114115
JPH3	ENSG00000154118
LOC440334	NA
VILL	ENSG00000136059
ATP2B2	ENSG00000157087
SEMA3D	ENSG00000153993
RAC2	LRG_97
GRHL2	ENSG00000083307
KIAA0507	NA
HAPLN1	ENSG00000145681
TNRC21	NA
KEL	ENSG00000197993
NPY	ENSG00000122585
ZNF668	ENSG00000167394
POPDC2	ENSG00000121577
H2AFJ	ENSG00000246705
CEP152	ENSG00000103995
LRRC36	ENSG00000159708
EB-1	NA
FLJ13769	NA
KCTD17	ENSG00000100379
KISS1	ENSG00000170498
CHM	ENSG00000188419
DKFZp762E1312	NA
CHRNB4	ENSG00000117971
ZNF365	ENSG00000138311
PMS2L4	NA
CFHL4	NA
RAPGEF1	ENSG00000107263
WNT10B	ENSG00000169884
BM039	NA
DOK3	ENSG00000146094
CSHL1	ENSG00000204414
SLPI	ENSG00000124107
SRY	ENSG00000184895
C17orf31	NA
MLSTD1	NA
GALNT3	ENSG00000115339
SCN2B	ENSG00000149575
SOAT1	ENSG00000057252
LRRC17	ENSG00000128606
KCNJ1	ENSG00000151704
ST6GALNAC2	ENSG00000070731
LOC389393	NA
TRPM6	ENSG00000119121
LOC440350	NA
FPR1	LRG_146
LOC441340	NA
TITF1	NA
DOCK4	ENSG00000128512
FSCN1	ENSG00000075618
PRO1848	NA
EIF5A2	ENSG00000163577
LHX5	ENSG00000089116
PTGDR	ENSG00000168229
KIAA0992	NA
BLR1	NA
SERPINB4	ENSG00000206073
MYOZ1	ENSG00000177791
HCA112	NA
CACNG5	ENSG00000075429
SFTPC	ENSG00000168484
CML2	NA
KLRA1	NA
CD302	ENSG00000241399
VPREB3	ENSG00000128218
FGF8	ENSG00000107831
FAT	NA
FOXE1	ENSG00000178919
ACSM1	ENSG00000166743
CTSG	ENSG00000100448
FLJ12505	NA
GPR8	NA
CCL21	ENSG00000137077
HIST1H1T	ENSG00000187475
EPB41	ENSG00000159023
CSPG5	ENSG00000114646
GP9	ENSG00000169704
METTL2	NA
ACOX2	ENSG00000168306
ZNF228	NA
KIF24	ENSG00000186638
RNASE2	ENSG00000169385
RNF125	ENSG00000101695
CAPN3	ENSG00000092529
MTMR10	ENSG00000166912
PDC	ENSG00000116703
RIPK4	ENSG00000183421
CYP4F12	ENSG00000186204
FEV	ENSG00000163497
KCTD12	ENSG00000178695
SMEK2	ENSG00000138041
PLS1	ENSG00000120756
CSN1S1	ENSG00000126545
CLDN16	ENSG00000113946
LOC440361	NA
TTF2	ENSG00000116830
RBPMS	ENSG00000157110
MASK	NA
TMEM45A	ENSG00000181458
CRYAA	ENSG00000160202
CHEK1	ENSG00000149554
TLR1	ENSG00000174125
CTNNA3	ENSG00000183230
LRIG1	ENSG00000144749
GADD45G	ENSG00000130222
FAIM3	ENSG00000162894
ZWILCH	ENSG00000174442
ID1	ENSG00000125968
SLC9A3	ENSG00000066230
MN1	ENSG00000169184
XKRY	NA
MOSC1	NA
SP140	ENSG00000079263
WISP3	ENSG00000112761
STEAP1	ENSG00000164647
LRRC51	NA
FLJ21019	NA
AMIGO2	ENSG00000139211
S100A4	ENSG00000196154
LINS1	NA
ZNF588	NA
SV2C	ENSG00000122012
DPP4	ENSG00000197635
ZCWPW1	ENSG00000078487
CACNA1B	ENSG00000148408
MT4	ENSG00000102891
MAGI2	ENSG00000187391
LOC440371	NA
MAP3K13	ENSG00000073803
BTBD15	NA
CYP2B7P1	ENSG00000256612
PTENP1	ENSG00000237984
NOS3	ENSG00000164867
SLC6A6	ENSG00000131389
PRO0132	NA
SOX1	ENSG00000182968
LOC286526	NA
LOC196993	NA
TOX	ENSG00000198846
DIXDC1	ENSG00000150764
THEG	ENSG00000105549
PRKCB1	NA
CCND1	ENSG00000110092
FBN2	ENSG00000138829
SSPN	LRG_209
F2RL2	ENSG00000164220
MELK	ENSG00000165304
ZNF204	NA
LCE2B	ENSG00000159455
FLJ10292	NA
CATR1	NA
CART1	NA
DPF1	ENSG00000011332
SMR3A	ENSG00000109208
GLDC	ENSG00000178445
SLC13A2	ENSG00000007216
ZNF205	ENSG00000122386
LOC441320	NA
PPIAL4	NA
ACTL6B	ENSG00000077080
SNX10	ENSG00000086300
C1orf183	NA
PGAP1	ENSG00000197121
AKAP12	ENSG00000131016
DNAI1	ENSG00000122735
FSTL1	ENSG00000163430
HLA-DPB1	ENSG00000229295
CST5	ENSG00000170367
FLJ13315	NA
RAD54L	ENSG00000085999
LMAN1	ENSG00000074695
ELMO3	ENSG00000102890
VAMP8	ENSG00000118640
HOXC13	ENSG00000123364
REPS1	ENSG00000135597
PLCL1	ENSG00000115896
TTMP	NA
KCNJ12	ENSG00000261309
HIST1H3D	ENSG00000197409
PMFBP1	ENSG00000118557
CDKAL1	ENSG00000145996
ELF5	ENSG00000135374
PRKCZ	ENSG00000067606
TFF2	ENSG00000160181
SNTG2	ENSG00000172554
HESX1	ENSG00000163666
HIST1H4K	ENSG00000197914
MS4A12	ENSG00000071203
HRASLS	ENSG00000127252
DCX	ENSG00000077279
ABCB4	ENSG00000005471
FLJ20641	NA
NGB	ENSG00000165553
KCNK3	ENSG00000171303
FLJ20035	NA
PCYOX1	ENSG00000116005
EFNA4	ENSG00000243364
DGKE	ENSG00000153933
CDCA3	ENSG00000268136
C8orf36	NA
PDE6B	ENSG00000133256
SCHIP1	ENSG00000151967
C20orf32	NA
LOC91353	NA
KIAA1704	ENSG00000133114
DMN	NA
TLX1	ENSG00000107807
MANSC1	ENSG00000111261
BMP8A	ENSG00000183682
SLC6A5	ENSG00000165970
LOC401525	NA
ABCC8	ENSG00000006071
MAP1B	ENSG00000131711
ULBP2	ENSG00000131015
SCGN	ENSG00000079689
NKX6-1	ENSG00000163623
FLJ20273	NA
OLFML1	ENSG00000183801
XLKD1	NA
SGCE	ENSG00000127990
DDX51	ENSG00000185163
SCRT1	ENSG00000261678
PCDHB8	ENSG00000120322
FZD5	ENSG00000163251
ITK	LRG_189
SPTA1	ENSG00000163554
CYP46A1	ENSG00000036530
NHLH1	ENSG00000171786
BF	NA
BHMT	ENSG00000145692
CDT1	ENSG00000167513
ISLR	ENSG00000129009
PRG1	NA
ZNF557	ENSG00000130544
CCR2	ENSG00000121807
NPHS1	ENSG00000161270
HIST1H2AM	ENSG00000233224
CYP2A13	ENSG00000197838
KIF14	ENSG00000118193
CREB5	ENSG00000146592
ZNF549	ENSG00000121406
DSPP	ENSG00000152591
SOX10	LRG_271
NEUROG2	ENSG00000178403
KIAA2002	NA
TRD@	NA
FXYD6	ENSG00000137726
CDCP1	ENSG00000163814
KCNK1	ENSG00000135750
CNKSR2	ENSG00000149970
PCDHGA11	ENSG00000253873
TRAV20	ENSG00000211800
ATOH1	ENSG00000172238
ARG1	ENSG00000118520
ZNF551	ENSG00000204519
HSPA4L	ENSG00000164070
TAS2R10	ENSG00000121318
IMP-2	NA
ARHGAP11A	ENSG00000198826
FGA	ENSG00000171560
CACNA1S	ENSG00000081248
MEIS2	ENSG00000134138
PALLD	ENSG00000129116
FLJ10945	NA
MEF2C	ENSG00000081189
TRPC4	ENSG00000133107
LIPG	ENSG00000101670
SPAG1	ENSG00000104450
STAMBPL1	ENSG00000138134
AGTRL1	NA
ANGPTL4	ENSG00000167772
PTGER4	ENSG00000171522
PRKCDBP	ENSG00000170955
LRRC21	NA
NEUROG3	ENSG00000122859
PRO1880	NA
POLL	ENSG00000166169
KIAA0960	NA
COL6A2	LRG_476
PDYN	ENSG00000101327
TMEM118	NA
HUMPPA	NA
HCN3	ENSG00000143630
GPRC5B	ENSG00000167191
EBF2	ENSG00000221818
KRT8	ENSG00000170421
KBTBD9	NA
FGB	ENSG00000171564
MUC13	ENSG00000173702
NELL1	ENSG00000165973
KLF5	ENSG00000102554
FLRT3	ENSG00000125848
EVPL	ENSG00000167880
C21orf55	NA
HTR1A	ENSG00000178394
KCNV2	ENSG00000168263
FCRL2	ENSG00000132704
EGR2	LRG_239
NRP1	ENSG00000099250
SEZ6L2	ENSG00000174938
ITM2A	ENSG00000078596
FGF9	ENSG00000102678
FLJ10786	NA
TBC1D19	ENSG00000109680
APOBEC3F	ENSG00000128394
GJB4	ENSG00000189433
LOC339005	NA
ABI3BP	ENSG00000154175
IL1R1	ENSG00000115594
LOC388969	NA
LOC93164	NA
GRIK3	ENSG00000163873
SCML1	ENSG00000047634
COX6A2	ENSG00000156885
MAGED4	ENSG00000154545
ZNF225	ENSG00000256294
KDELC1	ENSG00000134901
SEC31L2	NA
FLJ21062	NA
MMP2	ENSG00000087245
SRISNF2L	NA
ZNF254	ENSG00000213096
HNF4G	ENSG00000164749
DNASE2B	ENSG00000137976
IL18RAP	ENSG00000115607
LOC163131	NA
HCRTR1	ENSG00000121764
EVI1	NA
DCHS2	ENSG00000197410
KIF1C	ENSG00000129250
HIST1H2AK	ENSG00000184348
RAB40A	ENSG00000172476
CCNA1	ENSG00000133101
RSAD2	ENSG00000134321
FOXB1	ENSG00000171956
HCAP-G	NA
MS4A5	ENSG00000166930
GLCE	ENSG00000138604
PTGER1	ENSG00000160951
MLANA	ENSG00000120215
OPA3	ENSG00000125741
SLN	ENSG00000170290
IL5	ENSG00000113525
CSF2RB	ENSG00000100368
CHRDL1	ENSG00000101938
TRGC2	ENSG00000227191
CLDN17	ENSG00000156282
BAIAP3	ENSG00000007516
APBB1IP	ENSG00000077420
KLF8	ENSG00000102349
RAB23	ENSG00000112210
PRSS2	ENSG00000262739
RFXAP	LRG_103
KRTAP4-7	ENSG00000240871
HEYL	ENSG00000163909
PADI3	ENSG00000142619
OR11A1	ENSG00000204694
AK5	ENSG00000154027
SLC5A7	ENSG00000115665
MAP3K1	ENSG00000095015
EFHD1	ENSG00000115468
FLJ43663	NA
ZNF623	ENSG00000183309
MDS1	NA
PEX5L	ENSG00000114757
ODZ2	NA
ABCA6	ENSG00000154262
PDZK2	NA
ENTPD2	ENSG00000054179
PTPRN2	ENSG00000155093
C3orf14	ENSG00000114405
PTTG2	ENSG00000250254
OR12D3	ENSG00000112462
FLJ21075	NA
UPP1	ENSG00000183696
PPM1E	ENSG00000175175
FCN3	LRG_171
CHRNA7	ENSG00000175344
KRT6B	ENSG00000185479
MLLT1	ENSG00000130382
EXOSC1	ENSG00000171311
EYA1	ENSG00000104313
TNFAIP6	ENSG00000123610
HMGA2	ENSG00000149948
LIN28	NA
FLJ11235	NA
ST6GALNAC5	ENSG00000117069
IFNA1	ENSG00000197919
Cep152	NA
KIAA1107	ENSG00000069712
FGF2	ENSG00000138685
MMP20	ENSG00000137674
PRDM13	ENSG00000112238
PPFIA2	ENSG00000139220
GALR2	ENSG00000182687
DSC2	ENSG00000134755
POU3F2	ENSG00000184486
MAGEB3	ENSG00000198798
GAP43	ENSG00000172020
ACSL4	ENSG00000068366
FLJ14213	NA
ZBTB7B	ENSG00000160685
EDG5	NA
CALD1	ENSG00000122786
PON3	ENSG00000105852
LAG3	ENSG00000089692
THEDC1	NA
CCIN	ENSG00000185972
SLC12A5	ENSG00000124140
NEU2	ENSG00000115488
LOC284001	NA
KIT	ENSG00000157404
CCR3	ENSG00000183625
TRIM49	ENSG00000168930
AANAT	ENSG00000129673
DKFZP586K1520	NA
LRRC50	NA
IL1RAP	ENSG00000196083
BLZF1	ENSG00000117475
GPR45	ENSG00000135973
SFRP4	ENSG00000106483
GPR85	ENSG00000164604
C1orf112	ENSG00000000460
REN	ENSG00000143839
HGFAC	ENSG00000109758
SLC7A2	ENSG00000003989
ANGPTL7	ENSG00000171819
DRD1	ENSG00000184845
MYOG	ENSG00000122180
TMPRSS11E	ENSG00000087128
APOBEC3B	ENSG00000179750
ARL4C	ENSG00000188042
FLJ13224	NA
MGC4859	NA
ARMCX2	ENSG00000268151
HLF	ENSG00000108924
NFIB	ENSG00000147862
CXorf1	NA
PTPLA	ENSG00000165996
PLGLB2	ENSG00000125551
IL9	ENSG00000145839
WASF1	ENSG00000112290
MGAT5	ENSG00000152127
NPC1L1	ENSG00000015520
HSPC072	NA
CACNB4	ENSG00000182389
NUDT6	ENSG00000170917
RGS6	ENSG00000182732
CD3D	LRG_37
NAT2	ENSG00000156006
TEF	ENSG00000167074
FNBP1L	ENSG00000137942
NVL	ENSG00000143748
SSTR5	ENSG00000162009
C1orf115	ENSG00000162817
SLC4A10	ENSG00000144290
BMP2	ENSG00000125845
GPR116	ENSG00000069122
SYNE1	ENSG00000131018
TLX3	ENSG00000164438
HHLA3	ENSG00000197568
FRS2	ENSG00000166225
NAT8	ENSG00000144035
CLEC2B	ENSG00000110852
PAK1	ENSG00000149269
Sep-10	NA
MYBPC3	LRG_386
EDG1	NA
HSF4	ENSG00000102878
LOC442334	NA
APOL5	ENSG00000128313
SDC1	ENSG00000115884
C7orf9	NA
FBXO5	ENSG00000112029
MALL	ENSG00000144063
ZNF208	ENSG00000160321
CHAF1B	ENSG00000159259
COCH	ENSG00000100473
STMN4	ENSG00000015592
GRM2	ENSG00000164082
MBL1P1	NA
FLJ23861	NA
ADRB1	ENSG00000043591
MAGEA10	ENSG00000124260
PDE6H	ENSG00000139053
TUBB1	ENSG00000101162
MASS1	NA
HCK	ENSG00000101336
SLC12A8	ENSG00000221955
GKN1	ENSG00000169605
SNCAIP	ENSG00000064692
C1R	ENSG00000159403
CD19	LRG_35
DOT1L	ENSG00000104885
ITGAL	ENSG00000005844
HOMER1	ENSG00000152413
TFPI	ENSG00000003436
KIAA0773	NA
FLJ21687	NA
KPNA5	ENSG00000196911
LPHN3	ENSG00000150471
GPR6	ENSG00000146360
DDX25	ENSG00000109832
DNM3	ENSG00000197959
CYP4F3	ENSG00000186529
LOC201895	NA
CAMK2A	ENSG00000070808
HOXC6	ENSG00000197757
C1orf114	NA
SORBS2	ENSG00000154556
ORC1L	NA
AOC3	ENSG00000131471
LOC389347	NA
GAGE3	NA
LOC92154	NA
TRAF3IP3	ENSG00000009790
TNFRSF11A	LRG_194
ID3	ENSG00000117318
SYNC1	NA
LOC388572	NA
PAQR5	ENSG00000137819
MAD2L1	ENSG00000164109
AASS	ENSG00000008311
PRRX2	ENSG00000167157
LEF1	ENSG00000138795
SELENBP1	ENSG00000143416
HSPA2	ENSG00000126803
DSCR1L1	NA
FLJ13946	NA
BOMB	NA
UNC119	ENSG00000109103
SPINK5	LRG_110
ATP6V1B1	ENSG00000271809
CLEC5A	ENSG00000258227
DEFB1	ENSG00000164825
FLT3LG	ENSG00000090554
LOC389248	NA
PCDHA3	ENSG00000255408
PSG5	ENSG00000204941
GREM2	ENSG00000180875
PNOC	ENSG00000168081
HIST1H3F	ENSG00000256316
DIRAS3	ENSG00000162595
CRIM1	ENSG00000150938
CYP3A5	ENSG00000106258
CXADR	ENSG00000154639
PLEKHB1	ENSG00000021300
ROR2	ENSG00000169071
OPN1MW	ENSG00000268221
TLR3	LRG_117
CYP27A1	ENSG00000135929
LRP2	ENSG00000081479
HYAL4	ENSG00000106302
NINJ2	ENSG00000171840
DAZL	ENSG00000092345
NIN	ENSG00000100503
DNAJC12	ENSG00000108176
HEPH	ENSG00000089472
FZD3	ENSG00000104290
TLR2	ENSG00000137462
DKK4	ENSG00000104371
OLFML3	ENSG00000116774
CSH1	ENSG00000136488
NRXN2	ENSG00000110076
IFIH1	ENSG00000115267
SCGB1D1	ENSG00000168515
ZNF345	ENSG00000251247
LRP2BP	ENSG00000109771
CD1B	ENSG00000158485
DLG2	ENSG00000150672
CD79A	LRG_42
HRASLS3	NA
TP73	ENSG00000078900
LOC284244	NA
BST2	ENSG00000130303
CHRM2	ENSG00000181072
FLJ21369	NA
C6orf32	NA
CRYBA1	ENSG00000108255
SMG1	ENSG00000157106
TRPS1	ENSG00000104447
KCNH7	ENSG00000184611
ARRB1	ENSG00000137486
KLK7	ENSG00000169035
IGHD	ENSG00000271438
GNMT	ENSG00000124713
EVI2A	ENSG00000126860
RGC32	NA
SDK1	ENSG00000146555
CIP29	NA
LOC399904	NA
POU4F3	ENSG00000091010
SSTR4	ENSG00000132671
GPR37L1	ENSG00000170075
GYPA	ENSG00000170180
HEY2	ENSG00000135547
MAGEB1	ENSG00000214107
LILRA4	ENSG00000261929
CSN3	ENSG00000171209
IL7R	LRG_74
FLJ10081	NA
LOC389715	NA
SIT1	ENSG00000137078
SEMA6C	ENSG00000143434
SIGLEC9	ENSG00000129450
CDSN	ENSG00000204539
TJP3	ENSG00000105289
GPR77	NA
KCTD3	ENSG00000136636
C13orf18	NA
GPR110	ENSG00000153292
FLJ20701	NA
HIST1H1B	ENSG00000184357
TSPAN7	ENSG00000156298
SLC24A3	ENSG00000185052
IL21R	ENSG00000103522
APOB48R	NA
CPA3	ENSG00000163751
ESRRB	ENSG00000119715
GAGE2	NA
IREB2	ENSG00000136381
MYBL2	ENSG00000101057
BBS7	ENSG00000138686
CNTN5	ENSG00000149972
SEC10L1	NA
EDN1	ENSG00000078401
GABRA3	ENSG00000011677
LIF	ENSG00000128342
MEOX1	ENSG00000005102
MAL	ENSG00000172005
GRM3	ENSG00000198822
SLC30A10	ENSG00000196660
RAG1	LRG_98
NUDT1	ENSG00000106268
SPAG4	ENSG00000061656
GFRA3	ENSG00000146013
RORB	ENSG00000198963
ACADSB	LRG_451
TSC	NA
PNMA2	ENSG00000240694
ESRRG	ENSG00000196482
GTF3C5	ENSG00000148308
PRG2	ENSG00000186652
KIR2DS3	NA
MAF	ENSG00000178573
ICAM4	ENSG00000105371
LOC441955	NA
LRP12	ENSG00000147650
GABRB3	ENSG00000166206
MGC4093	NA
GAMT	ENSG00000130005
PTRF	ENSG00000177469
CCL17	ENSG00000102970
KCNK2	ENSG00000082482
DGCR13	NA
ChGn	NA
CDX4	ENSG00000131264
ZNF167	NA
IGLV3-25	ENSG00000211659
H2AFB3	ENSG00000268901
C7orf10	ENSG00000175600
FHL2	ENSG00000115641
EAF2	ENSG00000145088
ALDH3B2	ENSG00000132746
IRAK3	ENSG00000090376
PBOV1	ENSG00000254440
GARNL3	ENSG00000136895
ENO2	ENSG00000269528
EZH2	ENSG00000106462
KLK3	ENSG00000142515
PDZRN4	ENSG00000165966
LOC145899	NA
L1CAM	ENSG00000267951
GZMA	ENSG00000145649
FZD10	ENSG00000111432
DENND2D	ENSG00000162777
PTPRB	ENSG00000127329
ANXA13	ENSG00000104537
FRMD1	ENSG00000153303
RAC3	ENSG00000169750
ZNFN1A3	NA
EMR2	ENSG00000127507
CAV3	LRG_329
FLJ23588	NA
PKP2	ENSG00000057294
SC65	NA
SDC3	ENSG00000162512
FNDC4	ENSG00000115226
ITGBL1	ENSG00000198542
GJA8	ENSG00000264499
SPBC25	NA
IL12RB2	ENSG00000081985
MAOA	ENSG00000189221
C11orf1	ENSG00000137720
PSPH	ENSG00000146733
FLJ14327	NA
IHH	ENSG00000163501
LOC440886	NA
CTSS	ENSG00000163131
LOC57399	NA
DSG3	ENSG00000134757
PLTP	ENSG00000100979
DPEP3	ENSG00000141096
ARMCX1	ENSG00000269801
FKRP	ENSG00000181027
OTOF	ENSG00000115155
C11orf32	NA
SSX5	ENSG00000268256
GZMM	ENSG00000197540
PLEKHA6	ENSG00000143850
LOC115648	NA
C9orf53	ENSG00000224854
PCDHA10	ENSG00000250120
VSX1	ENSG00000100987
FGF20	ENSG00000078579
DTL	ENSG00000143476
FLJ12616	NA
NOX4	ENSG00000086991
SCIN	ENSG00000006747
BTK	LRG_128
EMP1	ENSG00000134531
ZNF482	NA
MGC5356	NA
MCTP1	ENSG00000175471
C6orf27	NA
TNFRSF1B	ENSG00000028137
C1RL	ENSG00000139178
SLC3A1	ENSG00000138079
CYSLTR1	ENSG00000173198
SHFM3P1	NA
ST3GAL6	ENSG00000064225
F2	ENSG00000180210
NGFR	ENSG00000064300
C2orf31	NA
PROCR	ENSG00000101000
SCRG1	ENSG00000164106
PDGFRB	ENSG00000113721
MTNR1A	ENSG00000168412
ARID3B	ENSG00000179361
KCNE2	LRG_291
GREB1	ENSG00000196208
SH3BP4	ENSG00000130147
GUCY1B2	ENSG00000123201
RGS7	ENSG00000182901
DMP1	ENSG00000152592
F13B	ENSG00000143278
SPRY2	ENSG00000136158
LMO3	ENSG00000048540
NR4A2	ENSG00000153234
NR2F2	ENSG00000185551
MEPE	ENSG00000152595
ADRA1B	ENSG00000170214
LST1	ENSG00000204482
OMD	ENSG00000127083
GPX2	ENSG00000176153
KIF11	ENSG00000138160
APOB	ENSG00000084674
NJMU-R1	NA
XCL2	ENSG00000143185
GALNT14	ENSG00000158089
PLAG1	ENSG00000181690
IGF2AS	NA
FABP3	ENSG00000121769
CDKL1	ENSG00000100490
FLJ13909	NA
CRABP2	ENSG00000143320
LOC152185	NA
FLJ11155	NA
RDH16	ENSG00000139547
MPPED2	ENSG00000066382
CLDN5	ENSG00000184113
GPR162	ENSG00000269830
C8orf72	NA
S100A5	ENSG00000196420
LIN10	NA
DIAPH3	ENSG00000139734
BRSK2	ENSG00000174672
DPYD	ENSG00000188641
DDAH1	ENSG00000153904
SYT17	ENSG00000103528
ZNF155	ENSG00000204920
AHR	ENSG00000106546
MYOZ3	ENSG00000164591
ENAH	ENSG00000154380
FHL5	ENSG00000112214
SNAP25	ENSG00000132639
GPR41	NA
ATP1A3	ENSG00000105409
BTG4	ENSG00000137707
INSL6	ENSG00000120210
HIGD1B	ENSG00000131097
ITGB2	LRG_76
NCF4	LRG_159
SLC17A2	ENSG00000112337
SPATA7	ENSG00000042317
SIX5	ENSG00000177045
ADPN	NA
EGF	ENSG00000138798
CCL23	ENSG00000167236
CADPS	ENSG00000163618
ITIH1	ENSG00000055957
MYH8	ENSG00000133020
STK17B	ENSG00000081320
CRY2	ENSG00000121671
FLJ13231	NA
ACPP	ENSG00000014257
PPM1H	ENSG00000111110
PKDREJ	ENSG00000130943
ZMAT4	ENSG00000165061
UMOD	ENSG00000169344
GZMK	ENSG00000113088
TBXAS1	ENSG00000059377
LOC440345	NA
APOD	ENSG00000189058
TEX14	ENSG00000121101
C4BPB	ENSG00000123843
VHL	ENSG00000134086
FGL2	ENSG00000127951
SUHW4	NA
SLC9A2	ENSG00000115616
MYBPH	ENSG00000133055
SLC30A4	ENSG00000104154
GPR39	ENSG00000183840
DKFZp434H2215	NA
TREML2	ENSG00000112195
MS4A1	LRG_140
C1orf21	ENSG00000116667
ITGB6	ENSG00000115221
SUSD4	ENSG00000143502
